Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
117-rep1;sample;sample;NA;117;L9_0.45_Nov22;1
118-rep1;sample;sample;NA;118;L10_0.45_Nov22;1
119-rep1;sample;sample;NA;119;L11_0.45_Nov22;1
120-rep1;sample;sample;NA;120;L12_0.45_Nov22;1
121-rep1;sample;sample;NA;121;L1_0.45_Dec22;1
122-rep1;sample;sample;NA;122;L2_0.45_Dec22;1
123-rep1;sample;sample;NA;123;L3_0.45_Dec22;1
124-rep1;sample;sample;NA;124;L4_0.45_Dec22;1
125-rep1;sample;sample;NA;125;L5_0.45_Dec22;1
126-rep1;sample;sample;NA;126;L6_0.45_Dec22;1
127-rep1;sample;sample;NA;127;L7_0.45_Dec22;1
128-rep1;sample;sample;NA;128;L8_0.45_Dec22;1
129-rep1;sample;sample;NA;129;L9_0.45_Dec22;1
130-rep1;sample;sample;NA;130;L10_0.45_Dec22;1
131-rep1;sample;sample;NA;131;L11_0.45_Dec22;1
132-rep1;sample;sample;NA;132;L12_0.45B_Dec22;1
133-rep1;sample;sample;NA;133;L12_0.45O_Dec22;1
134-rep1;sample;sample;NA;134;L12_0.45R_Dec22;1
135-rep1;negative_control;control;extraction;135;ctrl_0.45_Monthly_Dec22;1
136-rep1;sample;sample;NA;136;L1_0.45_Janv23;1
137-rep1;sample;sample;NA;137;L2_0.45B_Janv23;1
138-rep1;sample;sample;NA;138;L2_0.45O_Janv23;1
139-rep1;sample;sample;NA;139;L2_0.45R_Janv23;1
140-rep1;negative_control;control;extraction;140;ctrl_0.45_Monthly_Janv23;1
141-rep1;sample;sample;NA;141;L3_0.45_Janv23;1
142-rep1;sample;sample;NA;142;L4_0.45_Janv23;1
143-rep1;sample;sample;NA;143;L5_0.45_Janv23;1
144-rep1;sample;sample;NA;144;L6_0.45_Janv23;1
145-rep1;sample;sample;NA;145;L7_0.45_Janv23;1
146-rep1;sample;sample;NA;146;L8_0.45_Janv23;1
147-rep1;sample;sample;NA;147;L9_0.45_Janv23;1
148-rep1;sample;sample;NA;148;L10_0.45_Janv23;1
149-rep1;sample;sample;NA;149;L11_0.45_Janv23;1
150-rep1;sample;sample;NA;150;L12_0.45_Janv23;1
151-rep1;sample;sample;NA;151;L1_0.45_Feb23;1
152-rep1;sample;sample;NA;152;L2_0.45_Feb23;1
153-rep1;sample;sample;NA;153;L3_0.45_Feb23;1
154-rep1;sample;sample;NA;154;L4_0.45_Feb23;1
155-rep1;sample;sample;NA;155;L5_0.45_Feb23;1
156-rep1;sample;sample;NA;156;L6_0.45_Feb23;1
157-rep1;sample;sample;NA;157;L7_0.45B_Feb23;1
158-rep1;sample;sample;NA;158;L7_0.45O_Feb23;1
159-rep1;sample;sample;NA;159;L7_0.45R_Feb23;1
160-rep1;negative_control;control;extraction;160;ctrl_0.45_Monthly_Feb23;1
161-rep1;sample;sample;NA;161;L8_0.45_Feb23;1
162-rep1;sample;sample;NA;162;L9_0.45_Feb23;1
163-rep1;sample;sample;NA;163;L10_0.45_Feb23;1
164-rep1;sample;sample;NA;164;L11_0.45_Feb23;1
165-rep1;sample;sample;NA;165;L12_0.45_Feb23;1
166-rep1;sample;sample;NA;166;L1_0.45_March23;1
167-rep1;sample;sample;NA;167;L2_0.45_March23;1
168-rep1;sample;sample;NA;168;L3_0.45_March23;1
169-rep1;sample;sample;NA;169;L4_0.45B_March23;1
170-rep1;sample;sample;NA;170;L4_0.45O_March23;1
171-rep1;sample;sample;NA;171;L4_0.45R_March23;1
172-rep1;negative_control;control;extraction;172;ctrl_0.45_Monthly_March23;1
173-rep1;sample;sample;NA;173;L5_0.45_March23;1
174-rep1;sample;sample;NA;174;L6_0.45_March23;1
B01-rep1;blank;control;sequencing;B01;B01;1
B02-rep1;blank;control;sequencing;B02;B02;1
B03-rep1;blank;control;sequencing;B03;B03;1
B04-rep1;blank;control;sequencing;B04;B04;1
B05-rep1;blank;control;sequencing;B05;B05;1
B06-rep1;blank;control;sequencing;B06;B06;1
B07-rep1;blank;control;sequencing;B07;B07;1
B08-rep1;blank;control;sequencing;B08;B08;1
B09-rep1;blank;control;sequencing;B09;B09;1
B10-rep1;blank;control;sequencing;B10;B10;1
B11-rep1;blank;control;sequencing;B11;B11;1
B12-rep1;blank;control;sequencing;B12;B12;1
E00-rep1;extraction;control;extraction;E00;E00;1
E01-rep1;extraction;control;extraction;E01;E01;1
E02-rep1;extraction;control;extraction;E02;E02;1
E03-rep1;extraction;control;extraction;E03;E03;1
E04-rep1;extraction;control;extraction;E04;E04;1
E05-rep1;extraction;control;extraction;E05;E05;1
E06-rep1;extraction;control;extraction;E06;E06;1
E07-rep1;extraction;control;extraction;E07;E07;1
E08-rep1;extraction;control;extraction;E08;E08;1
E75-rep1;extraction;control;extraction;E75;E75;1
N01-rep1;negative_control;control;pcr;N01;N01;1
N02-rep1;negative_control;control;pcr;N02;N02;1
N03-rep1;negative_control;control;pcr;N03;N03;1
N04-rep1;negative_control;control;pcr;N04;N04;1
N05-rep1;negative_control;control;pcr;N05;N05;1
N06-rep1;negative_control;control;pcr;N06;N06;1
N07-rep1;negative_control;control;pcr;N07;N07;1
N08-rep1;negative_control;control;pcr;N08;N08;1
P01-rep1;positive_control;control;positive;P01;P01;1
